task_id,channel,intent,requester,payload,metadata,status,created_at
04d1f2e5-1a89-4b7b-b8f6-068d839b50df,admin_os,ops_query,user_test_001,"{""slots"":{""metric"":""APY"",""vault_name"":""USDC""},""intent"":""ops_query""}","{""source"":""admin_os"",""chat_id"":""default"",""user_id"":""user_test_001"",""raw_query"":"""",""timestamp"":""2026-02-04T09:28:21.613Z"",""entry_type"":""structured""}",pending,2026-02-04 09:28:21.613+00
1064cb80-571f-41e9-b043-7d6234ccf0d8,n8n_v2,unknown,716221804,"{""slots"":{},""intent"":""unknown""}","{""source"":""n8n_v2"",""chat_id"":""1149477108"",""user_id"":""716221804"",""raw_query"":""Write a tweet promoting yesterday's yield of the USDC vault"",""timestamp"":""2026-02-01T14:57:48.581Z""}",pending,2026-02-01 14:57:48.581+00
16c89c00-ece8-4dc7-b2d1-650b66d74752,admin_os,ops_query,user_test_001,"{""slots"":{},""intent"":""ops_query""}","{""source"":""admin_os"",""chat_id"":""default"",""user_id"":""user_test_001"",""raw_query"":"""",""timestamp"":""2026-02-04T13:14:35.526Z"",""entry_type"":""structured""}",pending,2026-02-04 13:14:35.526+00
23bcc297-5a30-482a-ab49-511ba9581878,telegram,ops_query,6129457002,"{""slots"":{""metric"":""APY"",""network"":""arbitrum"",""vault_name"":""dForce USDC - Morpho - arbitrum""},""intent"":""ops_query""}","{""source"":""n8n_em_t2"",""chat_id"":""6129457002"",""user_id"":""6129457002"",""raw_query"":""Show me APY of USDC on Mopho"",""timestamp"":""2026-02-03T09:21:05.389Z"",""entry_type"":""raw_query""}",pending,2026-02-03 09:21:05.389+00
2900c764-7b35-4149-a026-8e91d6d07fc5,telegram,ops_query,6129457001,"{""slots"":{""metric"":""APY"",""network"":""arbitrum"",""vault_name"":""dForce USDC - Morpho - arbitrum""},""intent"":""ops_query""}","{""source"":""n8n_em_t2"",""chat_id"":""6129457001"",""user_id"":""6129457001"",""raw_query"":""Show me the current APY for the USDC vault"",""timestamp"":""2026-02-04T13:24:21.416Z"",""entry_type"":""raw_query""}",pending,2026-02-04 13:24:21.416+00
2a2cb1bd-9f26-4f35-abde-e75f0ac402bc,system,publish_single,system_cron,"{""slots"":{},""intent"":""publish_single""}","{""source"":""system"",""chat_id"":""default"",""user_id"":""system_cron"",""raw_query"":"""",""timestamp"":""2026-02-04T13:15:51.171Z"",""entry_type"":""timeline"",""timeline_id"":""tl_test_003""}",pending,2026-02-04 13:15:51.171+00
3705073d-1d67-4170-869b-37c8893b28c7,telegram,ops_query,6129457001,"{""slots"":{""metric"":""APY"",""network"":""arbitrum"",""vault_name"":""dForce USDC - Morpho - arbitrum""},""intent"":""ops_query""}","{""source"":""n8n_em_t2"",""chat_id"":""6129457001"",""user_id"":""6129457001"",""raw_query"":""Show me the current APY for the USDC vault"",""timestamp"":""2026-02-03T09:16:22.469Z"",""entry_type"":""raw_query""}",pending,2026-02-03 09:16:22.469+00
3bed10e1-0e8d-47fa-b4dd-a08bee05275c,admin_os,ops_query,test_user,"{""slots"":{""metric"":""TVL"",""network"":""arbitrum"",""vault_name"":""dForce USDC - Morpho - arbitrum""},""intent"":""ops_query""}","{""source"":""n8n_em_t2"",""chat_id"":""test"",""user_id"":""test_user"",""raw_query"":""How much is TVL for USDC?"",""timestamp"":""2026-02-05T03:19:49.300Z"",""entry_type"":""raw_query""}",pending,2026-02-05 03:19:49.3+00
5384ca14-38a7-4102-bab8-68d95eadb5a7,telegram,mixed,6129457003,"{""slots"":{},""intent"":""mixed""}","{""source"":""n8n_em_t2"",""chat_id"":""6129457003"",""user_id"":""6129457003"",""raw_query"":""Write a tweet promoting yesterday's yield of the USDC vault"",""timestamp"":""2026-02-03T09:21:51.792Z"",""entry_type"":""raw_query""}",pending,2026-02-03 09:21:51.792+00
5e29db9e-0ed9-4476-a1ed-e891738517e3,n8n_v2,ops_query,716221804,"{""slots"":{""metric"":""APY"",""time_range"":""current"",""vault_name"":""dForce USDC - Morpho - arbitrum""},""intent"":""ops_query""}","{""source"":""n8n_v2"",""chat_id"":""1149477108"",""user_id"":""716221804"",""raw_query"":""Show me the current APY for the USDC vault"",""timestamp"":""2026-02-01T14:30:36.928Z""}",pending,2026-02-01 14:30:36.928+00
